tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,stages,Language,Like_Count,Retweet_count,Most_Likely_Prediction-p1,p1_conf
890240255349198849,,,"DatetimeIndex(['2017-07-26 15:59:51'], dtype='datetime64[ns]', freq=None)",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10,Cassie,doggo,en,32120,7539,Pembroke,0.511319
884162670584377345,,,"DatetimeIndex(['2017-07-09 21:29:42'], dtype='datetime64[ns]', freq=None)",Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,,,,https://twitter.com/dog_rates/status/884162670584377345/photo/1,12.0,10,Yogi,doggo,en,20490,3038,German_shepherd,0.707046
871515927908634625,,,"DatetimeIndex(['2017-06-04 23:56:03'], dtype='datetime64[ns]', freq=None)",This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,,,,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",12.0,10,Napolean,doggo,en,20447,3548,Komondor,0.974781
869596645499047938,,,"DatetimeIndex(['2017-05-30 16:49:31'], dtype='datetime64[ns]', freq=None)",This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,,,,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",12.0,10,Scout,doggo,en,16243,3242,Chihuahua,0.955156
846514051647705089,,,"DatetimeIndex(['2017-03-28 00:07:32'], dtype='datetime64[ns]', freq=None)",This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon https://t.co/cFAasDXauK,,,,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",13.0,10,Barney,doggo,en,47558,12749,Golden_retriever,0.650003
845397057150107648,,,"DatetimeIndex(['2017-03-24 22:08:59'], dtype='datetime64[ns]', freq=None)","Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o",,,,"https://www.gofundme.com/help-save-a-pup,https://twitter.com/dog_rates/status/845397057150107648/photo/1,https://twitter.com/dog_rates/status/845397057150107648/photo/1",13.0,10,Mimosa,doggo,en,8114,2013,Dandie_dinmont,0.394404
836753516572119041,,,"DatetimeIndex(['2017-03-01 01:42:39'], dtype='datetime64[ns]', freq=None)",This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10 https://t.co/GZmNEdyoJY,,,,https://twitter.com/dog_rates/status/836753516572119041/photo/1,12.0,10,Meera,doggo,en,20696,5121,Mortarboard,0.936882
832998151111966721,,,"DatetimeIndex(['2017-02-18 17:00:10'], dtype='datetime64[ns]', freq=None)","This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10 https://t.co/QX1h0oqMz0",,,,"https://twitter.com/dog_rates/status/832998151111966721/photo/1,https://twitter.com/dog_rates/status/832998151111966721/photo/1",13.0,10,Rhino,doggo,en,14351,2473,Boxer,0.539036
832273440279240704,,,"DatetimeIndex(['2017-02-16 17:00:25'], dtype='datetime64[ns]', freq=None)",Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,,,,https://twitter.com/dog_rates/status/832273440279240704/video/1,14.0,10,Smiley,doggo,en,12185,2610,Pembroke,0.134081
832032802820481025,,,"DatetimeIndex(['2017-02-16 01:04:13'], dtype='datetime64[ns]', freq=None)","This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M",,,,"https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1",12.0,10,Miguel,doggo,en,19287,5209,Whippet,0.601712
